"Guid","AccountId","Amount","CloseDate","ContactId","Description","ForecastCategoryName","LeadSource","Name","NextStep","Probability","SBQQ__Contracted__c","SBQQ__CreateContractedPrices__c","SBQQ__OrderGroupID__c","SBQQ__Ordered__c","SBQQ__PrimaryQuote__c","SBQQ__QuotePricebookId__c","SBQQ__Renewal__c","StageName","Type","sbaa__ApprovalStatus__c","sbaa__ApprovalStep__c","sbaa__StepApproved__c","sbaa__SubmittedDate__c"
0b7165ce-709d-4a8f-ae4d-e4e7bf6376d4,f143a463-d531-4759-8b2c-c4895df982c3,40000.0,2019-03-30,"#N/A",The deal is at 60% because they are still at the sales process stage of getting buy-in from the key decision makers.,Pipeline,Partner,Global Media - 400 Widgets,"#N/A",60.0,false,false,"#N/A",false,"#N/A","#N/A",false,Id. Decision Makers,New Business,"#N/A","#N/A",false,"#N/A"
0e288f54-59ce-4e97-ae73-857567a34918,f143a463-d531-4759-8b2c-c4895df982c3,50000.0,2019-01-27,"#N/A",Initial deal for 500 widgets. We expect follow-on business with a potential upside of 4000 additional widgets over the next 12 months.,Closed,Advertisement,salesforce.com - 500 Widgets,Closed!,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,Existing Business,"#N/A","#N/A",false,"#N/A"
669366c4-ed6e-4100-b49b-44ca57067750,3126306b-780a-4f7d-b4eb-d1cecf8ba1be,20000.0,2019-04-29,"#N/A",More widgets required.  The deal is at 50% because they are still at the sales process stage of evaluating the business/value justification that we submitted.,Pipeline,Partner,"salesforce.com - 2,000 Widgets",Meet at Widget Conference,50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,Existing Business,"#N/A","#N/A",false,"#N/A"
6aca6b50-fd68-4ef3-bd4c-50bcd6bd12ee,f143a463-d531-4759-8b2c-c4895df982c3,500000.0,2019-01-27,"#N/A",Initial deal for 5000 widgets. We expect follow-on business with a potential upside of 40000 additional widgets over the next 12 months.,Closed,Advertisement,salesforce.com - 5000 Widgets,Closed!,100.0,false,false,"#N/A",false,"#N/A","#N/A",false,Closed Won,New Business,"#N/A","#N/A",false,"#N/A"
726f7370-7e14-4587-8d21-91ee0822568a,3126306b-780a-4f7d-b4eb-d1cecf8ba1be,100000.0,2019-03-01,"#N/A",They are interested in our widgets!  The deal is at 90% because they are at the sales process stage of negotiating the finer points of a proposal that we submitted.  We are negotiating with their key decision makers and are confident that this deal will close soon.,Pipeline,Advertisement,"salesforce.com - 1,000 Widgets",Close the deal!,90.0,false,false,"#N/A",false,"#N/A","#N/A",false,Negotiation/Review,New Business,"#N/A","#N/A",false,"#N/A"
9940393b-7908-476b-b909-b1c2d0143fb2,3126306b-780a-4f7d-b4eb-d1cecf8ba1be,"#N/A",2029-08-12,"#N/A","#N/A",Pipeline,"#N/A",Fizzly Products,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
9ff4717c-0b20-4904-9749-e730cdf007d0,f143a463-d531-4759-8b2c-c4895df982c3,"#N/A",2027-08-07,"#N/A","#N/A",Pipeline,"#N/A",Fizzly Products,"#N/A",10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
a4e0320d-60be-424d-b62e-3d21a96006cd,64f330f3-8ba0-4377-a104-0f46117ef6b7,20000.0,2019-06-30,"#N/A",The deal is at 10% because they are at the sales process stage of evaluating just being converted from a lead.  No formal sales engagement has taken place yet.,Pipeline,Word of mouth,Acme - 200 Widgets,Need estimate,10.0,false,false,"#N/A",false,"#N/A","#N/A",false,Prospecting,Existing Business,"#N/A","#N/A",false,"#N/A"
a6317af4-812f-4255-84f8-fa02459f31e4,64f330f3-8ba0-4377-a104-0f46117ef6b7,140000.0,2019-03-01,"#N/A",The deal is at  50% because they are at the sales process stage of evaluating our ROI justification.,Pipeline,Trade Show,"Acme - 1,200 Widgets",Need estimate,50.0,false,false,"#N/A",false,"#N/A","#N/A",false,Value Proposition,Existing Business,"#N/A","#N/A",false,"#N/A"
cb465389-5e9c-40ad-8ada-5174f226f98e,64f330f3-8ba0-4377-a104-0f46117ef6b7,70000.0,2019-04-27,"#N/A",The deal is at 20% because they are at the sales process stage of defining their requirements.  It is not clear whether our solutions are a good fit or not but they are willing to discuss this in detail.,Pipeline,Trade Show,Acme - 600 Widgets,Need estimate,20.0,false,false,"#N/A",false,"#N/A","#N/A",false,Needs Analysis,New Business,"#N/A","#N/A",false,"#N/A"
fd811998-423d-46e4-bb32-6737b438f523,64f330f3-8ba0-4377-a104-0f46117ef6b7,6817.81,2022-08-07,"#N/A","#N/A",Pipeline,"#N/A",Fizzly Products,"#N/A",10.0,false,false,"#N/A",false,33caf412-43bc-4693-b96e-da20158d76bd,"#N/A",false,Prospecting,"#N/A","#N/A","#N/A",false,"#N/A"
