"Guid","Description","OpportunityId","Quantity","SBQQ__ParentID__c","SBQQ__QuoteLine__c","SBQQ__SubscriptionType__c","ServiceDate","SortOrder","TotalPrice","UnitPrice","sbaa__ApprovalStatus__c"
1c8b501d-2a76-4685-b50a-7accb5b71a62,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,00k5e00000Ki7bpAAB,54357b17-cf31-4a93-bf54-4b06753517ac,Renewable,"#N/A","#N/A",33.45,33.45,"#N/A"
27b7bffa-f9fc-4569-9776-9ea1d1fd1c06,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,00k5e00000Ki7bpAAB,178b1e8c-273c-4704-b0f2-7df06ffcbbc8,One-time,"#N/A","#N/A",3189.0,3189.0,"#N/A"
2aef3a03-3825-4e76-989c-e63a695bf7c5,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,00k5e00000Ki7bpAAB,cc8b5a06-09a3-4453-8d1d-97eb3fae05a0,Renewable,"#N/A","#N/A",120.0,120.0,"#N/A"
4ae345a6-2009-474e-8fac-d27459c5eacc,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,00k5e00000Ki7bpAAB,f698760e-dd4d-4838-bfa1-35ac74723f84,Renewable,"#N/A","#N/A",30.11,30.11,"#N/A"
68cae2b2-b01f-4160-a6e0-6a0034d5a634,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,"#N/A",a438d996-1d0d-4ed6-8c4e-859628baa1ea,One-time,"#N/A","#N/A",0.0,0.0,"#N/A"
7f3badcc-ea6f-4aa1-892b-0054d6c42f24,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,"#N/A",e3de2a5c-658d-4780-91f5-da54ec939af4,One-time,"#N/A","#N/A",0.0,0.0,"#N/A"
a3e5c88b-c7d9-4512-abf0-884f22ee1afa,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,00k5e00000Ki7bvAAB,a29b435f-68d4-4783-937c-eec4a5d75670,Renewable,"#N/A","#N/A",150.0,150.0,"#N/A"
d0af3dbb-4986-4ec3-8ccb-9b432be1db76,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,00k5e00000Ki7bpAAB,8f9c3284-21c8-4d58-8d6e-7492304bfd04,Renewable,"#N/A","#N/A",33.45,33.45,"#N/A"
d2da8915-a849-4509-a2d9-1c62af07bbd4,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,00k5e00000Ki7bvAAB,2c3e1431-6077-476c-a9ae-45d9684b5170,One-time,"#N/A","#N/A",39.35,39.35,"#N/A"
d3824ef5-2ac7-4446-b0ae-61903e219926,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,00k5e00000Ki7bvAAB,c2a63efa-edd8-4fb6-9b0c-63fcc7d125fe,Renewable,"#N/A","#N/A",33.45,33.45,"#N/A"
f606fdc3-a3eb-418b-8095-2c52ab792b35,"#N/A",fd811998-423d-46e4-bb32-6737b438f523,1.0,00k5e00000Ki7bvAAB,6061f6b5-1866-439f-bd7e-172cd53fb931,One-time,"#N/A","#N/A",3189.0,3189.0,"#N/A"
